day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;1500;AMETHYSTS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;0.0
-2;1600;AMETHYSTS;9996;1;9995.0;23.0;;;10004;1;10005.0;23.0;;;10000.0;0.0
-2;1600;STARFRUIT;4997;1;4996.0;23.0;;;5003;24;;;;;5000.0;0.0
-2;1700;STARFRUIT;4997;28;;;;;5002;2;5004.0;28.0;;;4999.5;0.0
-2;1700;AMETHYSTS;9995;28;;;;;10002;6;10005.0;28.0;;;9998.5;0.0
-2;1800;STARFRUIT;4996;24;;;;;5001;1;5003.0;24.0;;;4998.5;0.0
-2;1800;AMETHYSTS;9998;10;9995.0;24.0;;;10005;24;;;;;10001.5;0.0
-2;1900;STARFRUIT;5002;1;4997.0;1.0;4996.0;25.0;5003;26;;;;;5002.5;0.0
-2;1900;AMETHYSTS;9996;1;9995.0;25.0;;;10004;1;10005.0;25.0;;;10000.0;0.0
-2;2000;AMETHYSTS;9996;1;9995.0;30.0;;;10004;1;10005.0;30.0;;;10000.0;0.0
-2;2000;STARFRUIT;4996;31;;;;;5001;2;5003.0;31.0;;;4998.5;0.0
-2;2100;STARFRUIT;5001;4;4997.0;2.0;4996.0;20.0;5003;22;;;;;5002.0;0.0
-2;2100;AMETHYSTS;9996;2;9995.0;20.0;;;10004;2;10005.0;20.0;;;10000.0;0.0
-2;2200;STARFRUIT;4997;1;4996.0;25.0;;;5003;26;;;;;5000.0;0.0
-2;2200;AMETHYSTS;10002;1;9996.0;1.0;9995.0;25.0;10004;1;10005.0;25.0;;;10003.0;0.0
-2;2300;STARFRUIT;4997;30;;;;;5003;2;5004.0;28.0;;;5000.0;0.0
-2;2300;AMETHYSTS;9996;2;9995.0;28.0;;;10004;2;10005.0;28.0;;;10000.0;0.0
-2;2400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;2400;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;0.0
-2;2500;STARFRUIT;4996;21;;;;;5003;21;;;;;4999.5;0.0
-2;2500;AMETHYSTS;9995;21;;;;;9998;1;10005.0;21.0;;;9996.5;0.0
-2;2600;STARFRUIT;4998;6;4997.0;22.0;;;5003;1;5004.0;21.0;;;5000.5;0.0
-2;2600;AMETHYSTS;9996;1;9995.0;21.0;;;10004;1;10005.0;21.0;;;10000.0;0.0
-2;2700;STARFRUIT;4998;27;;;;;5003;4;5004.0;1.0;5005.0;26.0;5000.5;0.0
-2;2700;AMETHYSTS;9996;1;9995.0;26.0;;;10002;8;10004.0;1.0;10005.0;26.0;9999.0;0.0
-2;2800;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;0.0
-2;2800;STARFRUIT;4997;28;;;;;5004;28;;;;;5000.5;0.0
-2;2900;STARFRUIT;4996;30;;;;;5003;30;;;;;4999.5;0.0
-2;2900;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;3000;STARFRUIT;4996;28;;;;;5002;2;5003.0;26.0;;;4999.0;0.0
-2;3000;AMETHYSTS;10002;3;9996.0;2.0;9995.0;26.0;10004;2;10005.0;26.0;;;10003.0;0.0
-2;3100;STARFRUIT;5001;1;4997.0;1.0;4996.0;25.0;5003;25;;;;;5002.0;0.0
-2;3100;AMETHYSTS;9996;2;9995.0;23.0;;;10004;2;10005.0;23.0;;;10000.0;0.0
-2;3200;AMETHYSTS;9996;2;9995.0;26.0;;;10004;2;10005.0;26.0;;;10000.0;0.0
-2;3200;STARFRUIT;4996;28;;;;;5003;28;;;;;4999.5;0.0
-2;3300;STARFRUIT;4997;6;4996.0;20.0;;;5003;20;;;;;5000.0;0.0
-2;3300;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;0.0
-2;3400;STARFRUIT;4998;3;4997.0;23.0;;;5003;1;5004.0;22.0;;;5000.5;0.0
-2;3400;AMETHYSTS;9996;1;9995.0;22.0;;;10004;1;10005.0;22.0;;;10000.0;0.0
-2;3500;STARFRUIT;5002;1;4997.0;31.0;;;5004;31;;;;;5003.0;0.0
-2;3500;AMETHYSTS;9996;2;9995.0;29.0;;;10004;2;10005.0;29.0;;;10000.0;0.0
-2;3600;AMETHYSTS;9998;3;9995.0;26.0;;;10005;26;;;;;10001.5;0.0
-2;3600;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;0.0
-2;3700;STARFRUIT;4997;27;;;;;5004;27;;;;;5000.5;0.0
-2;3700;AMETHYSTS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;0.0
-2;3800;STARFRUIT;4998;2;4997.0;27.0;;;5004;27;;;;;5001.0;0.0
-2;3800;AMETHYSTS;9995;27;;;;;10002;7;10005.0;27.0;;;9998.5;0.0
-2;3900;STARFRUIT;4997;26;;;;;5002;1;5003.0;1.0;5004.0;25.0;4999.5;0.0
-2;3900;AMETHYSTS;9996;1;9995.0;25.0;;;10004;1;10005.0;25.0;;;10000.0;0.0
-2;4000;AMETHYSTS;9998;2;9995.0;27.0;;;10005;27;;;;;10001.5;0.0
-2;4000;STARFRUIT;4998;4;4997.0;27.0;;;5004;27;;;;;5001.0;0.0
-2;4100;STARFRUIT;4997;28;;;;;5002;5;5004.0;28.0;;;4999.5;0.0
-2;4100;AMETHYSTS;9998;8;9995.0;28.0;;;10005;28;;;;;10001.5;0.0
-2;4200;STARFRUIT;4998;1;4997.0;23.0;;;5004;25;;;;;5001.0;0.0
-2;4200;AMETHYSTS;9998;6;9996.0;2.0;9995.0;23.0;10004;2;10005.0;23.0;;;10001.0;0.0
-2;4300;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;0.0
-2;4300;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-2;4400;AMETHYSTS;9998;8;9996.0;1.0;9995.0;28.0;10004;1;10005.0;28.0;;;10001.0;0.0
-2;4400;STARFRUIT;4997;29;;;;;5002;2;5003.0;1.0;5004.0;28.0;4999.5;0.0
-2;4500;STARFRUIT;4997;1;4996.0;29.0;;;5003;30;;;;;5000.0;0.0
-2;4500;AMETHYSTS;9998;1;9996.0;1.0;9995.0;29.0;10004;1;10005.0;29.0;;;10001.0;0.0
-2;4600;STARFRUIT;4997;31;;;;;5004;31;;;;;5000.5;0.0
-2;4600;AMETHYSTS;9996;2;9995.0;29.0;;;10004;2;10005.0;29.0;;;10000.0;0.0
-2;4700;STARFRUIT;4997;30;;;;;5003;1;5004.0;29.0;;;5000.0;0.0
-2;4700;AMETHYSTS;9996;1;9995.0;29.0;;;10002;3;10004.0;1.0;10005.0;29.0;9999.0;0.0
-2;4800;AMETHYSTS;9996;2;9995.0;24.0;;;10002;6;10004.0;2.0;10005.0;24.0;9999.0;0.0
-2;4800;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;0.0
-2;4900;STARFRUIT;4997;2;4996.0;22.0;;;5003;24;;;;;5000.0;0.0
-2;4900;AMETHYSTS;10002;1;9996.0;2.0;9995.0;22.0;10004;2;10005.0;22.0;;;10003.0;0.0
-2;5000;STARFRUIT;4997;21;;;;;4998;3;5004.0;21.0;;;4997.5;0.0
-2;5000;AMETHYSTS;9996;1;9995.0;20.0;;;10002;1;10004.0;1.0;10005.0;20.0;9999.0;0.0
-2;5100;STARFRUIT;4998;2;4997.0;29.0;;;5004;31;;;;;5001.0;0.0
-2;5100;AMETHYSTS;9996;2;9995.0;29.0;;;10004;2;10005.0;29.0;;;10000.0;0.0
-2;5200;AMETHYSTS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;0.0
-2;5200;STARFRUIT;4997;27;;;;;5003;2;5004.0;25.0;;;5000.0;0.0
-2;5300;STARFRUIT;4997;23;;;;;5004;23;;;;;5000.5;0.0
-2;5300;AMETHYSTS;9996;1;9995.0;22.0;;;10004;1;10005.0;22.0;;;10000.0;0.0
-2;5400;STARFRUIT;4998;1;4997.0;29.0;;;5004;30;;;;;5001.0;0.0
-2;5400;AMETHYSTS;9996;1;9995.0;29.0;;;10004;1;10005.0;29.0;;;10000.0;0.0
-2;5500;AMETHYSTS;9998;7;9996.0;2.0;9995.0;28.0;10004;2;10005.0;28.0;;;10001.0;0.0
-2;5500;STARFRUIT;5002;4;4998.0;3.0;4997.0;28.0;5004;30;;;;;5003.0;0.0
-2;5600;STARFRUIT;5001;6;4998.0;32.0;;;5004;2;5005.0;30.0;;;5002.5;0.0
-2;5600;AMETHYSTS;10000;6;9996.0;2.0;9995.0;30.0;10004;2;10005.0;30.0;;;10002.0;0.0
-2;5700;STARFRUIT;4999;29;;;;;5004;4;5006.0;29.0;;;5001.5;0.0
-2;5700;AMETHYSTS;9995;29;;;;;10002;1;10005.0;29.0;;;9998.5;0.0
-2;5800;STARFRUIT;4999;28;;;;;5006;28;;;;;5002.5;0.0
-2;5800;AMETHYSTS;9996;2;9995.0;26.0;;;10004;2;10005.0;26.0;;;10000.0;0.0
-2;5900;AMETHYSTS;9998;2;9996.0;1.0;9995.0;28.0;10004;1;10005.0;28.0;;;10001.0;0.0
-2;5900;STARFRUIT;4999;29;;;;;5005;1;5006.0;28.0;;;5002.0;0.0
-2;6000;STARFRUIT;4999;2;4998.0;21.0;;;5005;23;;;;;5002.0;0.0
-2;6000;AMETHYSTS;9996;2;9995.0;21.0;;;10004;2;10005.0;21.0;;;10000.0;0.0
-2;6100;STARFRUIT;4999;27;;;;;5005;1;5006.0;26.0;;;5002.0;0.0
-2;6100;AMETHYSTS;9996;1;9995.0;26.0;;;10004;1;10005.0;26.0;;;10000.0;0.0
-2;6200;STARFRUIT;5000;8;4999.0;25.0;;;5005;2;5006.0;23.0;;;5002.5;0.0
-2;6200;AMETHYSTS;9996;2;9995.0;23.0;;;10004;2;10005.0;23.0;;;10000.0;0.0
-2;6300;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-2;6300;STARFRUIT;4998;26;;;;;5005;26;;;;;5001.5;0.0
-2;6400;STARFRUIT;4998;26;;;;;4999;1;5005.0;26.0;;;4998.5;0.0
-2;6400;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-2;6500;STARFRUIT;4999;22;;;;;5005;1;5006.0;21.0;;;5002.0;0.0
-2;6500;AMETHYSTS;10000;5;9996.0;1.0;9995.0;21.0;10004;1;10005.0;21.0;;;10002.0;0.0
-2;6600;STARFRUIT;4998;25;;;;;4999;1;5005.0;25.0;;;4998.5;0.0
-2;6600;AMETHYSTS;9996;2;9995.0;23.0;;;10004;2;10005.0;23.0;;;10000.0;0.0
-2;6700;AMETHYSTS;9998;3;9996.0;1.0;9995.0;27.0;10004;1;10005.0;27.0;;;10001.0;0.0
-2;6700;STARFRUIT;4998;28;;;;;4999;4;5004.0;1.0;5005.0;27.0;4998.5;0.0
-2;6800;STARFRUIT;4998;8;4997.0;24.0;;;5003;1;5004.0;23.0;;;5000.5;0.0
-2;6800;AMETHYSTS;9996;1;9995.0;23.0;;;10004;1;10005.0;23.0;;;10000.0;0.0
-2;6900;STARFRUIT;4997;28;;;;;5004;28;;;;;5000.5;0.0
-2;6900;AMETHYSTS;9995;28;;;;;10002;1;10005.0;28.0;;;9998.5;0.0
-2;7000;STARFRUIT;4997;24;;;;;5002;5;5004.0;24.0;;;4999.5;0.0
-2;7000;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;0.0
-2;7100;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;0.0
-2;7100;STARFRUIT;4998;26;;;;;4999;5;5005.0;26.0;;;4998.5;0.0
-2;7200;STARFRUIT;4998;27;;;;;5005;27;;;;;5001.5;0.0
-2;7200;AMETHYSTS;9996;1;9995.0;26.0;;;10004;1;10005.0;26.0;;;10000.0;0.0
-2;7300;STARFRUIT;4997;27;;;;;5004;28;;;;;5000.5;0.0
-2;7300;AMETHYSTS;9996;1;9995.0;27.0;;;10004;1;10005.0;27.0;;;10000.0;0.0
-2;7400;STARFRUIT;5003;1;4998.0;28.0;;;5005;28;;;;;5004.0;0.0
-2;7400;AMETHYSTS;9995;28;;;;;10002;3;10005.0;28.0;;;9998.5;0.0
-2;7500;AMETHYSTS;10002;1;9996.0;1.0;9995.0;25.0;10004;1;10005.0;25.0;;;10003.0;0.0
-2;7500;STARFRUIT;4998;26;;;;;5004;1;5005.0;25.0;;;5001.0;0.0
-2;7600;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;0.0
-2;7600;AMETHYSTS;9996;2;9995.0;28.0;;;10004;2;10005.0;28.0;;;10000.0;0.0
-2;7700;AMETHYSTS;9996;1;9995.0;25.0;;;10002;1;10004.0;1.0;10005.0;25.0;9999.0;0.0
-2;7700;STARFRUIT;4997;26;;;;;5004;26;;;;;5000.5;0.0
-2;7800;AMETHYSTS;9996;1;9995.0;21.0;;;10004;1;10005.0;21.0;;;10000.0;0.0
-2;7800;STARFRUIT;5002;1;4998.0;1.0;4997.0;21.0;5004;22;;;;;5003.0;0.0
-2;7900;AMETHYSTS;9996;1;9995.0;29.0;;;10004;1;10005.0;29.0;;;10000.0;0.0
-2;7900;STARFRUIT;4998;30;;;;;5004;1;5005.0;29.0;;;5001.0;0.0
-2;8000;STARFRUIT;4998;24;;;;;5005;24;;;;;5001.5;0.0
-2;8000;AMETHYSTS;9998;9;9996.0;1.0;9995.0;23.0;10004;1;10005.0;23.0;;;10001.0;0.0
-2;8100;AMETHYSTS;9998;9;9996.0;1.0;9995.0;20.0;10004;1;10005.0;20.0;;;10001.0;0.0
-2;8100;STARFRUIT;4998;21;;;;;5004;1;5005.0;20.0;;;5001.0;0.0
-2;8200;AMETHYSTS;9995;30;;;;;10002;10;10005.0;30.0;;;9998.5;0.0
-2;8200;STARFRUIT;5003;1;4997.0;30.0;;;5004;30;;;;;5003.5;0.0
-2;8300;AMETHYSTS;9996;2;9995.0;27.0;;;10004;2;10005.0;27.0;;;10000.0;0.0
-2;8300;STARFRUIT;4999;2;4998.0;29.0;;;5005;29;;;;;5002.0;0.0
-2;8400;STARFRUIT;4998;25;;;;;5005;25;;;;;5001.5;0.0
-2;8400;AMETHYSTS;9998;6;9995.0;25.0;;;10005;25;;;;;10001.5;0.0
-2;8500;AMETHYSTS;9996;1;9995.0;23.0;;;9998;6;10004.0;1.0;10005.0;23.0;9997.0;0.0
-2;8500;STARFRUIT;4998;1;4997.0;23.0;;;5002;2;5004.0;24.0;;;5000.0;0.0
-2;8600;AMETHYSTS;9996;1;9995.0;27.0;;;10002;10;10004.0;1.0;10005.0;27.0;9999.0;0.0
-2;8600;STARFRUIT;4998;1;4997.0;27.0;;;5004;28;;;;;5001.0;0.0
-2;8700;AMETHYSTS;9996;2;9995.0;22.0;;;10002;5;10004.0;2.0;10005.0;22.0;9999.0;0.0
-2;8700;STARFRUIT;5002;9;4998.0;6.0;4997.0;24.0;5004;24;;;;;5003.0;0.0
-2;8800;STARFRUIT;5003;1;4997.0;20.0;;;5004;20;;;;;5003.5;0.0
-2;8800;AMETHYSTS;10002;1;9998.0;1.0;9995.0;20.0;10005;20;;;;;10003.5;0.0
-2;8900;AMETHYSTS;9996;1;9995.0;26.0;;;10004;1;10005.0;26.0;;;10000.0;0.0
-2;8900;STARFRUIT;4999;1;4998.0;27.0;;;5004;1;5005.0;26.0;;;5001.5;0.0
-2;9000;AMETHYSTS;9996;2;9995.0;29.0;;;10004;2;10005.0;29.0;;;10000.0;0.0
-2;9000;STARFRUIT;4997;31;;;;;5002;7;5004.0;31.0;;;4999.5;0.0
-2;9100;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;0.0
-2;9100;STARFRUIT;4998;24;;;;;5005;24;;;;;5001.5;0.0
-2;9200;STARFRUIT;4997;28;;;;;5004;28;;;;;5000.5;0.0
-2;9200;AMETHYSTS;9995;28;;;;;10002;2;10005.0;28.0;;;9998.5;0.0
-2;9300;AMETHYSTS;10000;5;9998.0;9.0;9996.0;2.0;10004;2;10005.0;26.0;;;10002.0;0.0
-2;9300;STARFRUIT;5001;5;4998.0;28.0;;;5004;2;5005.0;26.0;;;5002.5;0.0
-2;9400;AMETHYSTS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;0.0
-2;9400;STARFRUIT;4997;27;;;;;5002;7;5004.0;27.0;;;4999.5;0.0
-2;9500;AMETHYSTS;9996;2;9995.0;23.0;;;10002;6;10004.0;2.0;10005.0;23.0;9999.0;0.0
-2;9500;STARFRUIT;4998;4;4997.0;25.0;;;5004;25;;;;;5001.0;0.0
-2;9600;STARFRUIT;5000;3;4998.0;4.0;4997.0;31.0;5004;31;;;;;5002.0;0.0
-2;9600;AMETHYSTS;10000;3;9996.0;2.0;9995.0;29.0;10004;2;10005.0;29.0;;;10002.0;0.0
-2;9700;AMETHYSTS;9996;2;9995.0;28.0;;;10004;2;10005.0;28.0;;;10000.0;0.0
-2;9700;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;0.0
-2;9800;AMETHYSTS;9996;2;9995.0;23.0;;;10004;2;10005.0;23.0;;;10000.0;0.0
-2;9800;STARFRUIT;4998;7;4997.0;25.0;;;5003;2;5004.0;23.0;;;5000.5;0.0
-2;9900;AMETHYSTS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;0.0
-2;9900;STARFRUIT;4997;2;4996.0;25.0;;;5001;1;5003.0;27.0;;;4999.0;0.0
-2;10000;STARFRUIT;4996;31;;;;;5003;31;;;;;4999.5;0.0
-2;10000;AMETHYSTS;9996;1;9995.0;30.0;;;10004;1;10005.0;30.0;;;10000.0;0.0
-2;10100;STARFRUIT;4998;6;4995.0;25.0;;;5002;25;;;;;5000.0;0.0
-2;10100;AMETHYSTS;10000;5;9995.0;25.0;;;10005;25;;;;;10002.5;0.0
-2;10200;AMETHYSTS;9996;1;9995.0;29.0;;;10004;1;10005.0;29.0;;;10000.0;0.0
-2;10200;STARFRUIT;4996;1;4995.0;29.0;;;5002;30;;;;;4999.0;0.0
-2;10300;STARFRUIT;5001;1;4996.0;23.0;;;5003;23;;;;;5002.0;0.0
-2;10300;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-2;10400;STARFRUIT;4996;23;;;;;5003;23;;;;;4999.5;0.0
-2;10400;AMETHYSTS;9996;1;9995.0;22.0;;;10002;3;10004.0;1.0;10005.0;22.0;9999.0;0.0
-2;10500;STARFRUIT;4996;20;;;;;5003;20;;;;;4999.5;0.0
-2;10500;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;0.0
-2;10600;AMETHYSTS;9996;1;9995.0;29.0;;;10002;8;10004.0;1.0;10005.0;29.0;9999.0;0.0
-2;10600;STARFRUIT;4997;30;;;;;5002;4;5004.0;30.0;;;4999.5;0.0
-2;10700;STARFRUIT;4997;29;;;;;5004;29;;;;;5000.5;0.0
-2;10700;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;0.0
-2;10800;STARFRUIT;4997;24;;;;;5004;24;;;;;5000.5;0.0
-2;10800;AMETHYSTS;9996;2;9995.0;22.0;;;10004;2;10005.0;22.0;;;10000.0;0.0
-2;10900;STARFRUIT;4998;22;;;;;5005;22;;;;;5001.5;0.0
-2;10900;AMETHYSTS;9996;1;9995.0;21.0;;;10004;1;10005.0;21.0;;;10000.0;0.0
-2;11000;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;0.0
-2;11000;STARFRUIT;4997;27;;;;;5004;27;;;;;5000.5;0.0
-2;11100;STARFRUIT;4998;29;;;;;5005;29;;;;;5001.5;0.0
-2;11100;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;0.0
-2;11200;STARFRUIT;4998;1;4997.0;20.0;;;5004;21;;;;;5001.0;0.0
-2;11200;AMETHYSTS;9996;1;9995.0;20.0;;;10004;1;10005.0;20.0;;;10000.0;0.0
-2;11300;STARFRUIT;4998;22;;;;;5004;2;5005.0;21.0;;;5001.0;0.0
-2;11300;AMETHYSTS;9996;2;9995.0;21.0;;;10004;2;10005.0;21.0;;;10000.0;0.0
-2;11400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;11400;STARFRUIT;4997;29;;;;;5004;30;;;;;5000.5;0.0
-2;11500;STARFRUIT;4997;24;;;;;5004;24;;;;;5000.5;0.0
-2;11500;AMETHYSTS;10002;2;9998.0;4.0;9995.0;24.0;10005;24;;;;;10003.5;0.0
-2;11600;STARFRUIT;4997;30;;;;;5004;30;;;;;5000.5;0.0
-2;11600;AMETHYSTS;9995;30;;;;;10002;9;10005.0;30.0;;;9998.5;0.0
-2;11700;STARFRUIT;4997;23;;;;;5003;1;5004.0;22.0;;;5000.0;0.0
-2;11700;AMETHYSTS;9996;1;9995.0;22.0;;;10004;1;10005.0;22.0;;;10000.0;0.0
-2;11800;AMETHYSTS;9996;2;9995.0;29.0;;;10004;2;10005.0;29.0;;;10000.0;0.0
-2;11800;STARFRUIT;4998;2;4997.0;29.0;;;5004;31;;;;;5001.0;0.0
-2;11900;STARFRUIT;4998;23;;;;;5004;1;5005.0;22.0;;;5001.0;0.0
-2;11900;AMETHYSTS;9996;1;9995.0;22.0;;;10004;1;10005.0;22.0;;;10000.0;0.0
-2;12000;STARFRUIT;4998;30;;;;;4999;2;5004.0;2.0;5005.0;28.0;4998.5;0.0
-2;12000;AMETHYSTS;9996;2;9995.0;28.0;;;10004;2;10005.0;28.0;;;10000.0;0.0
-2;12100;STARFRUIT;4998;7;4997.0;21.0;;;5004;21;;;;;5001.0;0.0
-2;12100;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;0.0
-2;12200;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;0.0
-2;12200;STARFRUIT;4997;23;;;;;5004;23;;;;;5000.5;0.0
-2;12300;STARFRUIT;4997;28;;;;;5004;28;;;;;5000.5;0.0
-2;12300;AMETHYSTS;9998;6;9995.0;28.0;;;10005;28;;;;;10001.5;0.0
-2;12400;STARFRUIT;4998;25;;;;;5005;25;;;;;5001.5;0.0
-2;12400;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;0.0
-2;12500;STARFRUIT;4999;1;4998.0;29.0;;;5005;29;;;;;5002.0;0.0
-2;12500;AMETHYSTS;9996;1;9995.0;28.0;;;10002;10;10004.0;1.0;10005.0;28.0;9999.0;0.0
-2;12600;AMETHYSTS;9996;1;9995.0;26.0;;;10004;1;10005.0;26.0;;;10000.0;0.0
-2;12600;STARFRUIT;4998;27;;;;;5004;1;5005.0;26.0;;;5001.0;0.0
-2;12700;STARFRUIT;4998;1;4997.0;22.0;;;5004;23;;;;;5001.0;0.0
-2;12700;AMETHYSTS;9996;1;9995.0;22.0;;;10004;1;10005.0;22.0;;;10000.0;0.0
-2;12800;STARFRUIT;4997;20;;;;;5004;20;;;;;5000.5;0.0
-2;12800;AMETHYSTS;9995;20;;;;;9998;1;10002.0;10.0;10005.0;20.0;9996.5;0.0
-2;12900;STARFRUIT;5002;1;4997.0;20.0;;;5004;20;;;;;5003.0;0.0
-2;12900;AMETHYSTS;9995;20;;;;;9998;1;10002.0;8.0;10005.0;20.0;9996.5;0.0
-2;13000;AMETHYSTS;9996;1;9995.0;30.0;;;9998;1;10004.0;1.0;10005.0;30.0;9997.0;0.0
-2;13000;STARFRUIT;5001;2;4997.0;1.0;4996.0;30.0;5003;31;;;;;5002.0;0.0
-2;13100;STARFRUIT;4999;6;4997.0;1.0;4996.0;21.0;5003;22;;;;;5001.0;0.0
-2;13100;AMETHYSTS;10000;6;9998.0;10.0;9996.0;1.0;10004;1;10005.0;21.0;;;10002.0;0.0
-2;13200;STARFRUIT;4997;23;;;;;5003;1;5004.0;22.0;;;5000.0;0.0
-2;13200;AMETHYSTS;9996;1;9995.0;22.0;;;10002;2;10004.0;1.0;10005.0;22.0;9999.0;0.0
-2;13300;STARFRUIT;4997;29;;;;;5004;29;;;;;5000.5;0.0
-2;13300;AMETHYSTS;9996;2;9995.0;27.0;;;10002;6;10004.0;2.0;10005.0;27.0;9999.0;0.0
-2;13400;AMETHYSTS;9998;4;9996.0;1.0;9995.0;27.0;10004;1;10005.0;27.0;;;10001.0;0.0
-2;13400;STARFRUIT;4997;28;;;;;5004;28;;;;;5000.5;0.0
-2;13500;STARFRUIT;4997;27;;;;;4998;1;5002.0;4.0;5004.0;27.0;4997.5;0.0
